node time word
5 2798 2
5 2798 1
5 2799 2
5 2801 1
5 2801 1
5 2801 1
5 2801 1
5 2802 777
5 2802 30
5 2802 4
5 2802 2
5 2806 53
5 2806 1
5 2806 1
5 2809 1
5 2809 13
5 2809 2
5 2809 1
5 2813 4
5 2815 1
5 2820 14
5 2830 2
5 2834 3
5 2834 3
5 2834 49
5 2834 1
5 2834 3
5 2834 2
5 2839 17
5 2839 21
5 2839 729
5 2839 1
5 2845 1
5 2848 1
5 2848 50
5 2848 115
5 2848 1
5 2849 8
5 2849 4
5 2856 1
5 2856 1
5 2856 1
5 2860 1
5 2860 1
5 2860 1
5 2860 1
5 2860 10
5 2861 4
5 2861 2
5 2861 5
5 2861 2
5 2861 2
5 2862 2
5 2862 1
5 2862 3
5 2862 4
5 2862 1
5 2862 6
5 2862 16
5 2863 1
5 2863 3
5 2881 2
5 2881 1
5 2881 3
5 2883 9
5 2883 8
5 2883 3
5 2885 36
5 2885 1
5 2887 1
5 2887 1
5 2887 4
5 2887 4
5 2890 16
5 2890 1
5 2890 1
5 2890 12
5 2900 1
5 2900 1
5 2903 1
5 2904 2
5 2906 32
5 2906 3
5 2909 17
5 2911 2
5 2911 1
5 2911 7
5 2911 5
5 2911 1
5 2911 17
5 2917 1
5 2917 12
5 2961 3
5 2961 1
5 2975 2
5 2975 1
5 2975 1
5 2975 1
5 2981 1
5 2981 21
5 2981 1
5 2988 11
5 2988 113
5 2988 2
5 2991 1
5 2991 1
5 2991 16
5 2991 3
5 2991 11
5 2999 2
5 2999 3
5 3006 1
5 3006 1
5 3006 1
5 3006 10
5 3015 1
5 3015 1
5 3015 1
5 3032 12
5 3032 22
5 3032 1
5 3044 1
5 3044 1
5 3044 99
5 3044 5
5 3044 3
5 3044 1
5 3044 1
5 3060 61
5 3060 92
5 3060 3
5 3071 1
5 3071 2
5 3074 1
5 3074 1
5 3074 1
5 3074 9
5 3074 39
5 3083 16
5 3086 3
5 3086 1
5 3086 1
5 3091 1
5 3091 1
5 3091 2
5 3091 1
5 3091 1
5 3112 3
5 3114 1
5 3114 1
5 3114 4
5 3114 57
5 3126 55
5 3127 2
5 3127 2
5 3127 44
5 3129 2
5 3134 1
5 3134 1
5 3134 1
5 3134 23
5 3134 35
5 3137 24
5 3137 18
5 3137 1
5 3137 2
5 3141 5
5 3141 14
5 3154 9
5 3159 3
5 3159 1
5 3159 26
5 3159 1
5 3159 12
5 3165 1
5 3165 200
5 3165 41
5 3169 1
5 3169 1
5 3169 1
5 3169 7
5 3169 2
5 3170 4
5 3170 5
5 3190 2
5 3190 3
5 3197 9
5 3197 251
5 3201 1
5 3201 8
5 3201 1
5 3201 1
5 3201 4
5 3211 11
5 3211 1
5 3212 2
5 3212 1
5 3222 1
5 3222 3
5 3225 1
5 3225 67
5 3225 15
5 3232 128
5 3232 31
5 3232 1
5 3232 180
5 3237 1
5 3241 48
5 3241 271
5 3241 2
5 3241 1
5 3241 2
5 3242 4
5 3242 2
5 3246 9
5 3246 5
5 3246 4
5 3260 10
5 3260 2
5 3260 1
5 3260 1
5 3260 1
5 3264 1
5 3264 2
5 3274 1
5 3274 72
5 3274 12
5 3285 1
5 3285 2
5 3285 2
5 3285 7
5 3285 1
5 3285 3
5 3292 9
5 3292 6
5 3308 11
5 3308 156
5 3337 11
5 3337 17
5 3337 5
5 3337 1
5 3354 51
5 3354 8
5 3354 1
5 3355 1
5 3363 2
5 3363 2
5 3363 1
5 3382 1
5 3382 3
5 3382 1
5 3382 1
5 3382 1
5 3382 2
5 3384 4
5 3384 4
5 3384 1
5 3384 1
5 3384 1
5 3384 1
5 3384 105
5 3384 1
5 3387 48
5 3387 1
5 3387 1
5 3387 2
5 3388 1
5 3397 1
5 3397 1
5 3397 1
5 3397 126
5 3404 1
5 3421 1
5 3421 3
5 3421 1
5 3421 1
5 3421 79
5 3421 1
5 3422 1
5 3422 8
5 3422 7
5 3422 7
5 3422 1
5 3425 5
5 3425 35
5 3425 2
5 3428 1
5 3428 7
5 3429 8
5 3429 2
5 3429 1
5 3429 6
5 3433 1
5 3443 1
5 3447 2
5 3447 4
5 3447 1
5 3451 1
5 3451 2
5 3459 1
5 3459 94
5 3464 1
5 3464 1
5 3467 1
5 3467 1
5 3467 12
5 3467 721
5 3467 1
5 3471 2
5 3471 7
5 3483 1
5 3483 2
5 3483 1
5 3483 1
5 3483 6
5 3486 122
5 3486 1
5 3486 150
5 3488 1
5 3488 3
5 3488 2
5 3498 1
5 3498 23
5 3499 3
5 3505 21
5 3505 27
5 3505 4
5 3509 1
5 3509 1
5 3509 5
5 3509 1
5 3512 3
5 3512 3
5 3515 1
5 3515 3
5 3520 12
5 3520 2
5 3521 1
5 3525 1
5 3525 4
5 3525 29
5 3525 1
5 3525 1
5 3528 2
5 3528 1
5 3528 2
5 3530 1
5 3530 10
5 3530 9
5 3530 1
5 3532 5
5 3532 4
5 3534 1
5 3534 4
5 3550 1
5 3550 3
5 3550 154
5 3550 2
5 3562 1
5 3562 1
5 3562 1
5 3562 2
5 3562 3
5 3571 2
5 3571 4
5 3571 1
5 3574 10
5 3574 1
5 3581 18
5 3581 1
5 3586 2
5 3586 1
5 3588 5
5 3588 1
5 3588 1
5 3588 1
5 3596 1
5 3596 1
5 3600 19
5 3600 3
5 3602 3
5 3602 2
5 3604 1
5 3604 6
5 3604 2
5 3604 1
5 3604 1
5 3606 1
5 3606 5
5 3606 1
5 3606 1
5 3606 8
5 3611 5
5 3611 1
5 3614 2
5 3614 8
5 3618 2
5 3622 1
5 3622 1
5 3622 1
5 3644 4
5 3644 2
5 3644 1
5 3644 560
5 3650 29
5 3650 7
5 3673 12
5 3673 4
5 3675 2
5 3675 421
5 3681 3
5 3681 4
5 3691 1
5 3691 1
5 3691 1
5 3691 1
5 3691 1
5 3691 1
5 3703 2
5 3703 1
5 3705 69
5 3710 4
5 3710 4
5 3717 1
5 3717 2
5 3717 2
5 3717 1
5 3724 8
5 3724 2
5 3736 1
5 3736 668
5 3753 3
5 3753 10
5 3763 1
5 3763 2
5 3765 4
5 3765 1
5 3781 12
5 3781 27
5 3781 2
5 3781 1
5 3788 2
5 3788 1
5 3793 4
5 3794 1
5 3794 4
5 3796 4
5 3796 8
5 3796 40
5 3803 2
5 3803 1
5 3803 1
5 3808 1
5 3811 11
5 3811 1
5 3811 16
5 3813 1
5 3813 27
5 3813 5
5 3813 1
5 3813 7
5 3813 10
5 3813 9
5 3813 1
5 3813 1
5 3813 1
5 3829 9
5 3829 1
5 3829 413
5 3840 484
5 3840 247
5 3840 3
5 3840 1
5 3842 4
5 3842 1
5 3842 3
5 3849 2
5 3849 41
5 3849 61
5 3849 2
5 3865 2
5 3865 8
5 3868 50
5 3868 1
5 3870 1
5 3880 1
5 3880 29
5 3880 7
5 3880 4
5 3882 3
5 3882 1
5 3882 49
5 3893 23
5 3893 3
5 3893 133
5 3898 4
5 3898 426
5 3898 91
5 3898 5
5 3898 6
5 3903 8
5 3903 28
5 3903 1
5 3903 2
5 3909 1
5 3909 4
5 3909 1
5 3909 12
5 3915 2
5 3915 47
5 3921 2
5 3921 1
5 3930 1
5 3930 7
5 3931 1
5 3931 3
5 3935 2
5 3935 1
5 3935 3
5 3935 17
5 3936 75
5 3936 2
5 3936 4
5 3936 3
5 3939 4
5 3939 519
5 3939 3
5 3940 2
5 3942 7
5 3943 18
5 3943 6
5 3943 1
5 3943 3
5 3945 1
5 3945 10
5 3945 2
5 3945 1
5 3950 1
5 3950 1
5 3950 84
5 3950 4
5 3950 1
5 3959 1
5 3959 1
5 3959 4
5 3959 1
5 3974 1
5 3974 3
5 3974 78
5 3974 1
5 3978 5
5 3988 1
5 3988 3
5 3988 11
5 3994 2
5 4005 1
5 4005 29
5 4005 32
5 4014 2
5 4014 78
5 4014 1
5 4024 2
5 4024 1
5 4024 10
5 4029 2
5 4029 2
5 4032 2
5 4032 1
5 4034 3
5 4034 17
5 4034 1
5 4044 2
5 4044 15
5 4051 1
5 4051 1
5 4053 5
5 4053 2
5 4053 1
5 4057 70
5 4057 4
5 4061 2
5 4061 1
5 4061 956
5 4061 1
5 4061 1
5 4068 1
5 4068 1
5 4086 1
5 4086 1
5 4093 1
5 4093 1
5 4093 19
5 4094 4
5 4094 1
5 4094 1
5 4094 3
5 4113 1
5 4113 2
5 4115 6
5 4125 8
5 4134 2
5 4134 9
5 4134 1
5 4149 4
5 4149 1
5 4149 1
5 4151 12
5 4153 1
5 4153 1
5 4153 3
5 4155 25
5 4155 1
5 4158 1
5 4167 20
5 4167 1
5 4167 4
5 4177 14
5 4177 1
5 4177 3
5 4177 50
5 4181 1
5 4189 766
5 4189 1
5 4189 1
5 4206 1
5 4206 4
5 4208 1
5 4208 198
5 4208 2
5 4208 1
5 4208 2
5 4211 18
5 4211 1
5 4213 187
5 4213 1
5 4213 2
5 4213 1
5 4213 128
5 4213 11
5 4224 5
5 4224 2
5 4224 2
5 4224 1
5 4225 3
5 4225 172
5 4225 2
5 4225 3
5 4225 1
5 4225 1
5 4225 146
5 4231 8
5 4231 1
5 4231 15
5 4231 1
5 4232 6
5 4232 8
5 4239 16
5 4239 33
5 4239 2
5 4255 1
5 4255 6
5 4263 2
5 4263 447
5 4263 8
5 4263 11
5 4265 1
5 4265 5
5 4265 5
5 4265 1
5 4265 1
5 4265 2
5 4266 1
5 4266 1
5 4266 1
5 4266 1
5 4266 18
5 4266 17
5 4275 1
5 4276 2
5 4276 38
5 4276 1
5 4276 1
5 4276 2
5 4276 1
5 4277 9
5 4277 2
5 4301 1
5 4301 2
5 4301 6
5 4301 5
5 4302 4
5 4302 1
5 4314 1
5 4314 2
5 4314 1
5 4315 2
5 4315 1
5 4328 3
5 4328 1
5 4328 2
5 4328 3
5 4328 2
5 4329 2
5 4329 3
5 4344 1
5 4344 48
5 4349 2
5 4349 2
5 4350 1
5 4350 1
